Latitude,Longitude,Mean_daily_range,Volume,Supply_air_temperature,Nb_of_people,Relative_humidity,Space_type,Wall_area,Door_area,Partition_area,Roof_area,Window_area,Skylight_area,Spaces,Cooling_load,Heating_load
42,71,9,10246,12,52,46,0,701,42,0,1694,0,0,10,157756,119745
42,71,9,146833,12,409,46,0,1957,44,0,13207,0,0,12,1200030,832644
42,71,9,6700,12,36,46,0,582,46,0,1177,0,0,10,110135,85666
42,71,9,3483,12,21,46,0,458,48,0,699,0,0,11,65884,53936
42,71,9,10393,12,52,46,0,714,68,0,1706,0,0,12,158157,120134
42,71,9,4360,12,25,46,0,488,56,0,839,0,0,14,78766,62882
42,71,9,3113,12,19,46,0,434,22,0,628,0,0,7,59967,49029
42,71,9,5441,12,30,46,0,528,38,0,993,0,0,8,93422,73473
42,71,9,4437,12,26,46,0,497,44,0,848,0,0,9,80420,64671
42,71,9,1449,12,10,46,0,421,22,0,341,0,0,6,34227,31815
42,71,9,11677,12,58,46,0,753,41,0,1882,0,0,10,175092,132263
42,71,9,16101,12,74,46,0,865,44,0,2419,0,0,10,223901,166971
42,71,9,3417,12,21,46,0,448,42,0,681,0,0,8,64530,53219
42,71,9,3535,12,23,46,0,537,38,0,740,0,0,13,70879,58805
42,71,9,3280,12,21,46,0,481,30,0,677,0,0,11,64541,53608
42,71,9,2366,12,16,46,0,435,37,0,519,0,0,10,49765,42870
42,71,9,8576,12,46,46,0,707,20,0,1501,0,0,5,140275,108285
42,71,9,31428,12,129,46,0,1129,40,0,4218,0,0,15,387111,279533
42,71,9,2142,12,15,46,0,415,16,0,468,0,0,5,45960,39417
42,71,9,3679,12,24,46,0,561,18,0,765,0,0,6,73776,60644
42,71,9,3814,12,23,46,0,489,54,0,762,0,0,13,71970,58781
42,71,9,5765,12,31,46,0,517,18,0,1013,0,0,5,95267,74090
42,71,9,11098,12,55,46,0,705,44,0,1778,0,0,9,165313,124396
42,71,9,5259,12,30,46,0,540,54,0,978,0,0,13,92299,73697
42,71,9,13594,12,70,46,0,914,22,0,2260,0,0,6,211369,158553
42,71,9,6765,12,37,46,0,641,42,0,1229,0,0,14,115612,90453
42,71,9,2963,12,19,46,0,478,28,0,623,0,0,8,60551,50600
42,71,9,27159,12,121,46,0,1189,38,0,3925,0,0,13,362169,264417
42,71,9,6000,12,35,46,0,669,32,0,1152,0,0,8,108433,86674
42,71,9,14330,12,73,46,0,976,74,0,2394,0,0,17,222097,168528
42,71,9,3361,12,22,46,0,523,30,0,710,0,0,10,68379,56614
42,71,9,2842,12,18,46,0,415,14,0,573,0,0,4,55030,45859
